# t x vx y vy xd vxd yd vyd
0.00000000  0.00000000 14.14213581  0.00000000 14.14213543  0.00000000 14.14213581  0.00000000 14.14213543
0.01000000  0.14142136 14.14213581  0.14093085 14.04403543  0.14142136 14.14213581  0.14142135 14.04403543
0.02000000  0.28284272 14.14213581  0.28088071 13.94593543  0.28284272 14.14213581  0.28186171 13.94593543
0.03000000  0.42426407 14.14213581  0.41984956 13.84783543  0.42426407 14.14213581  0.42132106 13.84783543
0.04000000  0.56568543 14.14213581  0.55783742 13.74973543  0.56568543 14.14213581  0.55979942 13.74973543
0.05000000  0.70710679 14.14213581  0.69484427 13.65163543  0.70710679 14.14213581  0.69729677 13.65163543
0.06000000  0.84852815 14.14213581  0.83087013 13.55353543  0.84852815 14.14213581  0.83381313 13.55353543
0.07000000  0.98994951 14.14213581  0.96591498 13.45543543  0.98994951 14.14213581  0.96934848 13.45543543
0.08000000  1.13137087 14.14213581  1.09997883 13.35733543  1.13137087 14.14213581  1.10390283 13.35733543
0.09000000  1.27279222 14.14213581  1.23306169 13.25923543  1.27279222 14.14213581  1.23747619 13.25923543
0.10000000  1.41421358 14.14213581  1.36516354 13.16113543  1.41421358 14.14213581  1.37006854 13.16113543
0.11000000  1.55563494 14.14213581  1.49628440 13.06303543  1.55563494 14.14213581  1.50167990 13.06303543
0.12000000  1.69705630 14.14213581  1.62642425 12.96493543  1.69705630 14.14213581  1.63231025 12.96493543
0.13000000  1.83847766 14.14213581  1.75558311 12.86683543  1.83847766 14.14213581  1.76195961 12.86683543
0.14000000  1.97989901 14.14213581  1.88376096 12.76873543  1.97989901 14.14213581  1.89062796 12.76873543
0.15000000  2.12132037 14.14213581  2.01095782 12.67063543  2.12132037 14.14213581  2.01831532 12.67063543
0.16000000  2.26274173 14.14213581  2.13717367 12.57253543  2.26274173 14.14213581  2.14502167 12.57253543
0.17000000  2.40416309 14.14213581  2.26240852 12.47443543  2.40416309 14.14213581  2.27074702 12.47443543
